Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
PSV,34,21,11,2,53,74,21,53
Ajax,34,20,9,5,49,85,36,49
AZ,34,19,9,6,47,75,30,45
FC Twente,34,18,9,7,45,61,32,29
Sparta Rotterdam,34,14,12,8,40,54,33,21
Roda JC Kerkrade,34,12,12,10,36,41,40,1
FC Volendam,34,13,8,13,34,50,58,-8
FC Utrecht,34,11,11,12,33,40,45,-5
Vitesse,34,10,13,11,33,48,62,-14
Feyenoord,34,10,12,12,32,52,47,5
NAC Breda,34,10,11,13,31,37,51,-14
ADO Den Haag,34,11,6,17,28,45,57,-12
HFC Haarlem,34,8,12,14,28,37,55,-18
N.E.C.,34,10,8,16,28,39,59,-20
VVV-Venlo,34,9,10,15,28,46,66,-20
Go Ahead Eagles,34,11,5,18,27,49,53,-4
FC Amsterdam,34,9,8,17,26,41,73,-32
Telstar,34,3,8,23,14,25,81,-56
