Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,27,7,0,88,106,28,78
Roda JC Kerkrade,34,22,10,2,76,70,28,42
PSV,34,20,7,7,67,85,46,39
Feyenoord,34,19,5,10,62,66,56,10
FC Twente,34,17,8,9,59,66,50,16
Vitesse,34,14,12,8,54,55,44,11
Willem II,34,13,8,13,47,44,48,-4
RKC Waalwijk,34,11,11,12,44,46,49,-3
sc Heerenveen,34,12,6,16,42,47,60,-13
NAC Breda,34,11,7,16,40,54,60,-6
FC Volendam,34,8,13,13,37,37,55,-18
FC Utrecht,34,8,11,15,35,43,60,-17
N.E.C.,34,9,7,18,34,48,60,-12
FC Groningen,34,8,10,16,34,49,64,-15
Sparta Rotterdam,34,8,10,16,34,42,58,-16
MVV Maastricht,34,7,9,18,30,41,71,-30
Go Ahead Eagles,34,7,9,18,30,42,77,-35
FC Dordrecht,34,5,10,19,25,40,67,-27
