Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,27,7,0,61,106,28,78,1
Roda JC Kerkrade,34,22,10,2,54,70,28,42,2
PSV,34,20,7,7,47,85,46,39,3
Feyenoord,34,19,5,10,43,66,56,10,4
FC Twente,34,17,8,9,42,66,50,16,5
Vitesse,34,14,12,8,40,55,44,11,6
Willem II,34,13,8,13,34,44,48,-4,7
RKC Waalwijk,34,11,11,12,33,46,49,-3,8
sc Heerenveen,34,12,6,16,30,47,60,-13,9
NAC Breda,34,11,7,16,29,54,60,-6,10
FC Volendam,34,8,13,13,29,37,55,-18,11
FC Utrecht,34,8,11,15,27,43,60,-17,12
FC Groningen,34,8,10,16,26,49,64,-15,13
Sparta Rotterdam,34,8,10,16,26,42,58,-16,14
N.E.C.,34,9,7,18,25,48,60,-12,15
MVV Maastricht,34,7,9,18,23,41,71,-30,16
Go Ahead Eagles,34,7,9,18,23,42,77,-35,17
FC Dordrecht,34,5,10,19,20,40,67,-27,18
