Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,27,6,1,60,100,23,77
Feyenoord,34,22,11,1,55,81,22,59
PSV,34,19,8,7,46,70,34,36
FC Twente,34,17,8,9,42,62,43,19
Sparta Rotterdam,34,16,9,9,41,56,41,15
ADO Den Haag,34,14,12,8,40,56,33,23
Go Ahead Eagles,34,11,13,10,35,40,42,-2
MVV Maastricht,34,10,14,10,34,45,45,0
Holland Sport,34,13,7,14,33,48,63,-15
NAC Breda,34,11,10,13,32,40,54,-14
N.E.C.,34,8,15,11,31,31,39,-8
AZ,34,8,12,14,28,31,48,-17
HFC Haarlem,34,6,15,13,27,23,36,-13
Telstar,34,5,14,15,24,33,48,-15
AFC DWS,34,9,6,19,24,26,50,-24
DOS,34,7,9,18,23,27,64,-37
GVAV,34,7,8,19,22,20,45,-25
SVV,34,5,5,24,15,31,90,-59
