Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
PSV,34,27,5,2,86,99,21,78
Ajax,34,25,3,6,78,92,30,62
Feyenoord,34,15,12,7,57,73,43,30
Roda JC Kerkrade,34,15,9,10,54,51,45,6
FC Utrecht,34,15,6,13,51,62,56,6
FC Twente,34,12,12,10,48,39,44,-5
VVV-Venlo,34,10,17,7,47,46,45,1
Sparta Rotterdam,34,11,12,11,45,52,48,4
Fortuna Sittard,34,10,12,12,42,47,49,-2
FC Den Bosch,34,10,12,12,42,43,52,-9
HFC Haarlem,34,11,9,14,42,32,57,-25
PEC Zwolle,34,10,11,13,41,61,57,4
FC Groningen,34,9,12,13,39,43,43,0
ADO Den Haag,34,8,12,14,36,46,64,-18
AZ,34,7,13,14,34,31,57,-26
Go Ahead Eagles,34,5,13,16,28,23,48,-25
SC Veendam,34,4,15,15,27,37,67,-30
Excelsior Rotterdam,34,5,9,20,24,40,91,-51
