Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Feyenoord,34,25,7,2,82,96,31,65
PSV,34,23,6,5,75,88,32,56
Ajax,34,22,7,5,73,100,46,54
HFC Haarlem,34,14,13,7,55,59,50,9
AZ,34,14,9,11,51,64,50,14
FC Groningen,34,14,9,11,51,64,51,13
FC Utrecht,34,14,8,12,50,64,74,-10
Sparta Rotterdam,34,12,13,9,49,77,63,14
Roda JC Kerkrade,34,13,9,12,48,55,55,0
Excelsior Rotterdam,34,13,5,16,44,56,62,-6
FC Den Bosch,34,11,11,12,44,48,55,-7
Go Ahead Eagles,34,12,8,14,44,52,63,-11
Fortuna Sittard,34,11,9,14,42,50,55,-5
PEC Zwolle,34,10,9,15,39,56,70,-14
FC Volendam,34,9,8,17,35,39,68,-29
Willem II,34,5,6,23,21,27,74,-47
FC Dordrecht,34,6,3,25,21,35,88,-53
Helmond Sport,34,4,8,22,20,49,92,-43
