Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,30,0,4,90,102,18,84
Feyenoord,34,27,4,3,85,89,28,61
FC Twente,34,22,6,6,72,53,22,31
Sparta Rotterdam,34,21,5,8,68,85,37,48
ADO Den Haag,34,15,10,9,55,44,39,5
PSV,34,15,8,11,53,46,35,11
MVV Maastricht,34,14,9,11,51,49,38,11
FC Utrecht,34,12,8,14,44,42,55,-13
N.E.C.,34,10,11,13,41,40,46,-6
FC Amsterdam,34,11,7,16,40,44,54,-10
Telstar,34,12,4,18,40,39,51,-12
HFC Haarlem,34,10,9,15,39,43,55,-12
FC Groningen,34,7,13,14,34,37,61,-24
Go Ahead Eagles,34,8,9,17,33,31,52,-21
AZ,34,8,9,17,33,32,58,-26
NAC Breda,34,7,7,20,28,26,57,-31
Excelsior Rotterdam,34,5,8,21,23,24,70,-46
FC Den Bosch,34,5,7,22,22,23,73,-50
