Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
PSV,34,27,3,4,84,105,24,81
sc Heerenveen,34,21,5,8,68,65,36,29
Feyenoord,34,18,10,6,64,66,42,24
Vitesse,34,18,9,7,63,67,43,24
Ajax,34,18,7,9,61,72,51,21
FC Twente,34,16,12,6,60,57,37,20
AZ,34,17,4,13,55,69,59,10
Roda JC Kerkrade,34,16,7,11,55,62,53,9
Willem II,34,13,9,12,48,55,65,-10
FC Utrecht,34,14,4,16,46,55,61,-6
RKC Waalwijk,34,12,6,16,42,44,67,-23
Fortuna Sittard,34,10,8,16,38,47,54,-7
Sparta Rotterdam,34,11,4,19,37,48,75,-27
De Graafschap,34,8,9,17,33,41,60,-19
N.E.C.,34,7,6,21,27,35,62,-27
MVV Maastricht,34,6,7,21,25,38,68,-30
SC Cambuur,34,6,7,21,25,35,66,-31
FC Den Bosch,34,4,11,19,23,36,74,-38
