Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
PSV,30,17,8,5,59,67,38,29
Ajax,30,17,5,8,56,73,41,32
Sparta Rotterdam,30,17,5,8,56,60,38,22
Feyenoord,30,14,9,7,51,58,40,18
SC Enschede,30,12,9,9,45,58,46,12
DOS,30,13,6,11,45,37,44,-7
NAC Breda,30,11,10,9,43,51,48,3
GVAV,30,12,6,12,42,52,47,5
MVV Maastricht,30,11,7,12,40,45,49,-4
Blauw-Wit,30,12,4,14,40,48,56,-8
Fortuna '54,30,12,4,14,40,44,54,-10
ADO Den Haag,30,9,10,11,37,41,36,5
FC Volendam,30,8,11,11,35,50,53,-3
Heracles Almelo,30,9,8,13,35,54,62,-8
Willem II,30,7,8,15,29,53,68,-15
De Volewijckers,30,2,4,24,10,31,102,-71
