Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Feyenoord,34,22,9,3,53,82,32,50
PSV,34,22,7,5,51,81,34,47
Ajax,34,20,9,5,49,87,30,57
Vitesse,34,16,14,4,46,58,29,29
FC Twente,34,17,8,9,42,64,39,25
FC Volendam,34,12,13,9,37,51,34,17
MVV Maastricht,34,15,7,12,37,49,47,2
FC Utrecht,34,12,11,11,35,44,40,4
RKC Waalwijk,34,12,9,13,33,49,57,-8
Willem II,34,12,8,14,32,41,38,3
Roda JC Kerkrade,34,11,7,16,29,51,59,-8
FC Groningen,34,9,11,14,29,31,49,-18
Sparta Rotterdam,34,8,11,15,27,36,65,-29
SC Cambuur,34,6,13,15,25,39,58,-19
Go Ahead Eagles,34,8,9,17,25,36,64,-28
Fortuna Sittard,34,7,7,20,21,34,76,-42
FC Den Bosch,34,6,9,19,21,35,79,-44
FC Dordrecht,34,5,10,19,20,30,68,-38
