Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,26,2,6,80,86,26,60
Feyenoord,34,19,13,2,70,61,27,34
PSV,34,17,10,7,61,60,36,24
Vitesse,34,17,6,11,57,63,37,26
FC Twente,34,15,9,10,54,57,43,14
Roda JC Kerkrade,34,15,8,11,53,55,40,15
NAC Breda,34,14,10,10,52,61,52,9
Willem II,34,15,7,12,52,48,42,6
Sparta Rotterdam,34,12,8,14,44,58,57,1
MVV Maastricht,34,11,10,13,43,49,58,-9
FC Volendam,34,13,4,17,43,46,55,-9
Go Ahead Eagles,34,10,8,16,38,44,57,-13
sc Heerenveen,34,9,10,15,37,35,61,-26
FC Groningen,34,9,8,17,35,42,65,-23
FC Utrecht,34,9,8,17,35,40,63,-23
RKC Waalwijk,34,8,9,17,33,38,56,-18
VVV-Venlo,34,7,11,16,32,30,62,-32
SC Cambuur,34,6,7,21,25,28,64,-36
