Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Feyenoord,34,26,5,3,83,82,25,57,1
Ajax,34,24,5,5,77,90,20,70,2
ADO Den Haag,34,21,8,5,71,62,27,35,3
PSV,34,21,7,6,70,73,25,48,4
FC Twente,34,19,10,5,67,48,18,30,5
Sparta Rotterdam,34,16,13,5,61,54,34,20,6
Go Ahead Eagles,34,15,8,11,53,49,43,6,7
N.E.C.,34,12,10,12,46,43,36,7,8
FC Utrecht,34,13,7,14,46,46,64,-18,9
FC Volendam,34,9,10,15,37,34,48,-14,10
Telstar,34,9,9,16,36,32,46,-14,11
MVV Maastricht,34,8,10,16,34,28,42,-14,12
AFC DWS,34,5,17,12,32,26,54,-28,13
NAC Breda,34,7,10,17,31,40,61,-21,14
Holland Sport,34,5,14,15,29,34,60,-26,15
Excelsior Rotterdam,34,5,10,19,25,22,66,-44,16
AZ,34,3,9,22,18,24,76,-52,17
HFC Haarlem,34,1,12,21,15,22,64,-42,18
