Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Feyenoord,34,26,5,3,57,82,25,57
Ajax,34,24,5,5,53,90,20,70
ADO Den Haag,34,21,8,5,50,62,27,35
PSV,34,21,7,6,49,73,25,48
FC Twente,34,19,10,5,48,48,18,30
Sparta Rotterdam,34,16,13,5,45,54,34,20
Go Ahead Eagles,34,15,8,11,38,49,43,6
N.E.C.,34,12,10,12,34,43,36,7
FC Utrecht,34,13,7,14,33,46,64,-18
FC Volendam,34,9,10,15,28,34,48,-14
Telstar,34,9,9,16,27,32,46,-14
AFC DWS,34,5,17,12,27,26,54,-28
MVV Maastricht,34,8,10,16,26,28,42,-14
NAC Breda,34,7,10,17,24,40,61,-21
Holland Sport,34,5,14,15,24,34,60,-26
Excelsior Rotterdam,34,5,10,19,20,22,66,-44
AZ,34,3,9,22,15,24,76,-52
HFC Haarlem,34,1,12,21,14,22,64,-42
