Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
AZ,34,27,6,1,60,101,30,71
Ajax,34,22,4,8,48,88,54,34
FC Utrecht,34,18,9,7,45,67,33,34
Feyenoord,34,18,9,7,45,74,48,26
PSV,34,18,8,8,44,62,31,31
FC Twente,34,16,7,11,39,60,49,11
Sparta Rotterdam,34,15,6,13,36,75,71,4
MVV Maastricht,34,12,10,12,34,53,65,-12
PEC Zwolle,34,10,10,14,30,42,49,-7
Willem II,34,11,7,16,29,49,69,-20
Roda JC Kerkrade,34,9,10,15,28,67,75,-8
Go Ahead Eagles,34,10,8,16,28,63,75,-12
NAC Breda,34,9,9,16,27,46,66,-20
ADO Den Haag,34,12,3,19,27,53,79,-26
FC Groningen,34,8,9,17,25,49,72,-23
N.E.C.,34,6,13,15,25,38,63,-25
Excelsior Rotterdam,34,5,11,18,21,39,67,-28
FC Wageningen,34,6,9,19,21,33,63,-30
