Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
AZ,34,27,6,1,87,101,30,71,1
Ajax,34,22,4,8,70,88,54,34,2
FC Utrecht,34,18,9,7,63,67,33,34,3
Feyenoord,34,18,9,7,63,74,48,26,4
PSV,34,18,8,8,62,62,31,31,5
FC Twente,34,16,7,11,55,60,49,11,6
Sparta Rotterdam,34,15,6,13,51,75,71,4,7
MVV Maastricht,34,12,10,12,46,53,65,-12,8
PEC Zwolle,34,10,10,14,40,42,49,-7,9
Willem II,34,11,7,16,40,49,69,-20,10
ADO Den Haag,34,12,3,19,39,53,79,-26,11
Go Ahead Eagles,34,10,8,16,38,63,75,-12,12
Roda JC Kerkrade,34,9,10,15,37,67,75,-8,13
NAC Breda,34,9,9,16,36,46,66,-20,14
FC Groningen,34,8,9,17,33,49,72,-23,15
N.E.C.,34,6,13,15,31,38,63,-25,16
FC Wageningen,34,6,9,19,27,33,63,-30,17
Excelsior Rotterdam,34,5,11,18,26,39,67,-28,18
