Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,26,6,2,84,106,41,65
Feyenoord,34,22,10,2,76,72,39,33
PSV,34,21,9,4,72,80,34,46
Sparta Rotterdam,34,12,13,9,49,64,52,12
FC Groningen,34,11,15,8,48,67,57,10
Roda JC Kerkrade,34,13,9,12,48,56,52,4
HFC Haarlem,34,13,9,12,48,49,53,-4
Excelsior Rotterdam,34,13,6,15,45,44,47,-3
Fortuna Sittard,34,11,11,12,44,41,48,-7
FC Utrecht,34,11,9,14,42,51,57,-6
AZ,34,11,8,15,41,49,40,9
Go Ahead Eagles,34,9,11,14,38,44,59,-15
PEC Zwolle,34,10,7,17,37,40,58,-18
Willem II,34,9,8,17,35,49,62,-13
Helmond Sport,34,8,10,16,34,44,70,-26
FC Twente,34,7,11,16,32,36,60,-24
NAC Breda,34,6,12,16,30,39,75,-36
N.E.C.,34,4,14,16,26,34,61,-27
