Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,24,6,4,78,93,46,47
Feyenoord,34,21,6,7,69,87,51,36
PSV,34,17,14,3,65,84,33,51
Sparta Rotterdam,34,17,8,9,59,62,52,10
FC Groningen,34,15,11,8,56,57,43,14
Fortuna Sittard,34,14,6,14,48,49,48,1
FC Den Bosch,34,10,16,8,46,45,32,13
FC Twente,34,12,10,12,46,60,64,-4
FC Utrecht,34,13,6,15,45,47,42,5
HFC Haarlem,34,12,9,13,45,51,57,-6
Roda JC Kerkrade,34,11,10,13,43,51,59,-8
Excelsior Rotterdam,34,9,12,13,39,47,51,-4
Go Ahead Eagles,34,11,6,17,39,46,59,-13
MVV Maastricht,34,10,9,15,39,39,55,-16
AZ,34,8,14,12,38,59,70,-11
FC Volendam,34,9,7,18,34,37,67,-30
NAC Breda,34,7,5,22,26,35,68,-33
PEC Zwolle,34,4,9,21,21,34,86,-52
