Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,24,6,4,54,93,46,47
PSV,34,17,14,3,48,84,33,51
Feyenoord,34,21,6,7,48,87,51,36
Sparta Rotterdam,34,17,8,9,42,62,52,10
FC Groningen,34,15,11,8,41,57,43,14
FC Den Bosch,34,10,16,8,36,45,32,13
Fortuna Sittard,34,14,6,14,34,49,48,1
FC Twente,34,12,10,12,34,60,64,-4
HFC Haarlem,34,12,9,13,33,51,57,-6
FC Utrecht,34,13,6,15,32,47,42,5
Roda JC Kerkrade,34,11,10,13,32,51,59,-8
Excelsior Rotterdam,34,9,12,13,30,47,51,-4
AZ,34,8,14,12,30,59,70,-11
MVV Maastricht,34,10,9,15,29,39,55,-16
Go Ahead Eagles,34,11,6,17,28,46,59,-13
FC Volendam,34,9,7,18,25,37,67,-30
NAC Breda,34,7,5,22,19,35,68,-33
PEC Zwolle,34,4,9,21,17,34,86,-52
