Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
AFC DWS,30,19,5,6,62,58,28,30
PSV,30,18,5,7,59,66,42,24
Feyenoord,30,16,5,9,53,77,33,44
SC Enschede,30,14,11,5,53,63,45,18
NAC Breda,30,14,6,10,48,56,53,3
Ajax,30,13,8,9,47,63,40,23
DOS,30,12,6,12,42,52,54,-2
ADO Den Haag,30,12,6,12,42,47,60,-13
GVAV,30,11,8,11,41,46,45,1
Fortuna '54,30,10,10,10,40,50,48,2
MVV Maastricht,30,9,9,12,36,40,53,-13
Go Ahead Eagles,30,7,10,13,31,42,62,-20
Heracles Almelo,30,8,7,15,31,44,65,-21
Sparta Rotterdam,30,6,10,14,28,34,52,-18
Blauw-Wit,30,5,8,17,23,44,71,-27
FC Volendam,30,4,10,16,22,43,74,-31
