Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,23,9,2,78,82,26,56,1
Feyenoord,34,23,7,4,76,94,29,65,2
Ajax,34,21,7,6,70,76,34,42,3
FC Twente,34,17,8,9,59,56,35,21,4
AZ,34,14,12,8,54,50,32,18,5
Telstar,34,11,14,9,47,42,45,-3,6
Sparta Rotterdam,34,9,18,7,45,43,37,6,7
Roda JC Kerkrade,34,11,10,13,43,50,61,-11,8
FC Amsterdam,34,10,11,13,41,49,48,1,9
De Graafschap,34,10,8,16,38,32,56,-24,10
ADO Den Haag,34,7,16,11,37,33,42,-9,11
Go Ahead Eagles,34,9,10,15,37,40,55,-15,12
MVV Maastricht,34,7,14,13,35,43,55,-12,13
FC Utrecht,34,8,10,16,34,40,62,-22,14
Excelsior Rotterdam,34,7,12,15,33,32,53,-21,15
NAC Breda,34,8,9,17,33,38,62,-24,16
HFC Haarlem,34,7,10,17,31,36,69,-33,17
FC Wageningen,34,7,9,18,30,39,74,-35,18
