Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Feyenoord,34,25,6,3,56,96,28,68
FC Twente,34,23,8,3,54,65,27,38
Ajax,34,21,9,4,51,88,30,58
PSV,34,20,9,5,49,96,40,56
FC Amsterdam,34,17,9,8,43,49,36,13
Telstar,34,12,12,10,36,53,50,3
AZ,34,10,13,11,33,37,39,-2
Sparta Rotterdam,34,10,12,12,32,37,45,-8
FC Utrecht,34,14,4,16,32,53,65,-12
Go Ahead Eagles,34,11,10,13,32,44,58,-14
MVV Maastricht,34,8,14,12,30,36,52,-16
HFC Haarlem,34,10,6,18,26,33,46,-13
ADO Den Haag,34,8,10,16,26,29,53,-24
De Graafschap,34,8,10,16,26,43,75,-32
Roda JC Kerkrade,34,6,10,18,22,31,56,-25
NAC Breda,34,6,10,18,22,44,72,-28
N.E.C.,34,6,9,19,21,33,51,-18
FC Groningen,34,7,7,20,21,40,84,-44
