Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
PSV,34,20,8,6,68,94,36,58
Ajax,34,19,11,4,68,67,23,44
FC Twente,34,16,10,8,58,48,43,5
Vitesse,34,15,11,8,56,49,31,18
Roda JC Kerkrade,34,14,13,7,55,53,39,14
FC Volendam,34,15,9,10,54,43,38,5
Fortuna Sittard,34,12,14,8,50,42,35,7
RKC Waalwijk,34,13,11,10,50,45,47,-2
ADO Den Haag,34,13,7,14,46,58,63,-5
FC Groningen,34,10,15,9,45,50,46,4
Sparta Rotterdam,34,12,7,15,43,51,61,-10
Feyenoord,34,9,13,12,40,51,45,6
FC Utrecht,34,8,11,15,35,27,45,-18
Willem II,34,7,13,14,34,42,49,-7
MVV Maastricht,34,7,13,14,34,38,61,-23
FC Den Bosch,34,6,13,15,31,30,51,-21
N.E.C.,34,5,16,13,31,32,55,-23
HFC Haarlem,34,4,7,23,19,22,74,-52
