Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Feyenoord,30,21,3,6,45,77,30,47
AFC DWS,30,15,10,5,40,55,28,27
ADO Den Haag,30,13,7,10,33,37,32,5
PSV,30,13,7,10,33,48,45,3
Sparta Rotterdam,30,11,9,10,31,39,40,-1
Fortuna '54,30,13,5,12,31,44,49,-5
SC Enschede,30,9,12,9,30,33,37,-4
MVV Maastricht,30,11,7,12,29,41,51,-10
Heracles Almelo,30,11,7,12,29,36,52,-16
Telstar,30,9,10,11,28,31,36,-5
Go Ahead Eagles,30,8,11,11,27,36,36,0
DOS,30,8,11,11,27,43,52,-9
Ajax,30,9,8,13,26,52,51,1
GVAV,30,8,10,12,26,39,47,-8
Sittardia,30,8,7,15,23,36,46,-10
NAC Breda,30,7,8,15,22,34,49,-15
