Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Feyenoord,30,21,3,6,66,77,30,47
AFC DWS,30,15,10,5,55,55,28,27
ADO Den Haag,30,13,7,10,46,37,32,5
PSV,30,13,7,10,46,48,45,3
Fortuna '54,30,13,5,12,44,44,49,-5
Sparta Rotterdam,30,11,9,10,42,39,40,-1
MVV Maastricht,30,11,7,12,40,41,51,-10
Heracles Almelo,30,11,7,12,40,36,52,-16
SC Enschede,30,9,12,9,39,33,37,-4
Telstar,30,9,10,11,37,31,36,-5
Ajax,30,9,8,13,35,52,51,1
Go Ahead Eagles,30,8,11,11,35,36,36,0
DOS,30,8,11,11,35,43,52,-9
GVAV,30,8,10,12,34,39,47,-8
Sittardia,30,8,7,15,31,36,46,-10
NAC Breda,30,7,8,15,29,34,49,-15
